260493, 17064, 3712473
313207, 18654, 5328560
423439, 20868, 6432851
37306, 13614, 703922
25976, 12630, 580341
733961, 24330, 10375793
107753, 18681, 1786028
97251, 16277, 2055841
33715, 14022, 681876
76562, 16273, 1235479
163270, 16196, 2228001
25814, 13394, 558726
259310, 19060, 3821647
24055, 11579, 550817
242239, 3603, 4226222
1564, 293, 79403
614656, 18784, 13472379
297660, 4352, 6724341
24613, 14380, 786321
716016, 22808, 10419531
28604, 14075, 710827
29459, 8591, 665236
156057, 14131, 2471240
24286, 10430, 505240
63118, 4547, 1319359
36303, 14580, 2096079
60905, 12354, 2359457
6024, 413, 192365
138969, 16434, 2596039
10294, 7720, 357979
37111, 12224, 1197781
18320, 6154, 497294
28704, 13490, 716852
91010, 9385, 2105239
29421, 12372, 1004758
19687, 6884, 636579
13334, 3027, 460331
8821, 4002, 362582
738, 202, 31659
593557, 19064, 15444162
526118, 21054, 14544751
20481, 6834, 528300
42256, 5749, 1051632
111213, 15634, 2682125
8055, 2751, 310137
82548, 16060, 1828333
29568, 13348, 756993
845587, 9410, 18305869
103101, 18230, 2195117
42690, 11896, 1030633
19538, 4981, 506083
5643, 1106, 156639
5808, 452, 164946
30491, 12738, 697742
866560, 23404, 16701115
18944, 9867, 986223
5899, 2536, 264315
275221, 4266, 10044030
10480, 4008, 533320
46100, 16112, 2085616
653423, 14957, 23068936
220801, 4196, 8090152
1740, 556, 83862
197424, 16480, 3499355
876554, 14752, 18720509
724594, 23296, 9897381
250603, 15173, 3638292
12300, 6270, 293479
1344, 2024, 68811
18859, 8614, 437201
61505, 12664, 1200270
163750, 17842, 2215077
1976, 634, 52382
342553, 19038, 4375605
392798, 22282, 7125259
32854, 12824, 798510
403012, 17786, 5507816
24631, 13376, 566057
104735, 13172, 1808520
168780, 19138, 2808260
628475, 18760, 8727307
16533, 4303, 371600
14731, 4215, 324933
277220, 15304, 3891549
94565, 16665, 1592602
452540, 20144, 8220194
11219, 4490, 386144
257259, 17588, 5320160
207866, 20700, 4086484
334639, 19128, 5355516
825, 309, 56144
48106, 10058, 852774
70314, 14767, 1129462
27408, 14072, 623383
